location,date,hour,wind speed
  225,20190128,   24,   80
  225,20190129,    1,   70
  225,20190129,    2,   70
  225,20190129,    3,   60
  225,20190129,    4,   60
  225,20190129,    5,   80
  225,20190129,    6,   90
  225,20190129,    7,   90
  225,20190129,    8,  100
  225,20190129,    9,   90
  225,20190129,   10,  110
  225,20190129,   11,  100
  225,20190129,   12,  100
  225,20190129,   13,   90
  225,20190129,   14,   80
  225,20190129,   15,   70
  225,20190129,   16,   50
  225,20190129,   17,   40
  225,20190129,   18,   40
  225,20190129,   19,   50
  225,20190129,   20,   60
  225,20190129,   21,   60
  225,20190129,   22,   50
  225,20190129,   23,   50
  225,20190129,   24,   40
  225,20190130,    1,   40
  225,20190130,    2,   30
  225,20190130,    3,   30
  225,20190130,    4,   30
  225,20190130,    5,   30
  225,20190130,    6,   30
  225,20190130,    7,   30
  225,20190130,    8,   20
  225,20190130,    9,   20
  225,20190130,   10,   20
  225,20190130,   11,   20
  225,20190130,   12,   30
  225,20190130,   13,   30
  225,20190130,   14,   40
  225,20190130,   15,   30
  225,20190130,   16,   40
  225,20190130,   17,   50
  225,20190130,   18,   60
  225,20190130,   19,  120
  225,20190130,   20,  140
  225,20190130,   21,   90
  225,20190130,   22,   60
  225,20190130,   23,   40
  225,20190130,   24,   40
  225,20190131,    1,   60
  225,20190131,    2,   80
  225,20190131,    3,   70
  225,20190131,    4,   80
  225,20190131,    5,   60
  225,20190131,    6,   40
  225,20190131,    7,   50
  225,20190131,    8,   80
  225,20190131,    9,   70
  225,20190131,   10,   70
  225,20190131,   11,   50
  225,20190131,   12,   40
  225,20190131,   13,   50
  225,20190131,   14,   50
  225,20190131,   15,   40
  225,20190131,   16,   40
  225,20190131,   17,   40
  225,20190131,   18,   50
  225,20190131,   19,   50
  225,20190131,   20,   50
  225,20190131,   21,   50
  225,20190131,   22,   60
  225,20190131,   23,   80
  225,20190131,   24,   80
  225,20190201,    1,   90
  225,20190201,    2,   90
  225,20190201,    3,   90
  225,20190201,    4,   90
  225,20190201,    5,   70
  225,20190201,    6,   70
  225,20190201,    7,   80
  225,20190201,    8,   80
  225,20190201,    9,   70
  225,20190201,   10,   70
  225,20190201,   11,   60
  225,20190201,   12,   50
  225,20190201,   13,   40
  225,20190201,   14,   40
  225,20190201,   15,   50
  225,20190201,   16,   40
  225,20190201,   17,   50
  225,20190201,   18,   60
  225,20190201,   19,   60
  225,20190201,   20,   50
  225,20190201,   21,   40
  225,20190201,   22,   40
  225,20190201,   23,   50
  225,20190201,   24,   40
  225,20190202,    1,   40
  225,20190202,    2,   50
  225,20190202,    3,   60
  225,20190202,    4,   70
  225,20190202,    5,   60
  225,20190202,    6,   60
  225,20190202,    7,   60
  225,20190202,    8,   50
  225,20190202,    9,   50
  225,20190202,   10,   60
  225,20190202,   11,   40
  225,20190202,   12,   60
  225,20190202,   13,   50
  225,20190202,   14,   50
  225,20190202,   15,   50
  225,20190202,   16,   50
  225,20190202,   17,   60
  225,20190202,   18,   50
  225,20190202,   19,   50
  225,20190202,   20,   40
  225,20190202,   21,   30
  225,20190202,   22,   50
  225,20190202,   23,   50
  225,20190202,   24,   60
  225,20190203,    1,   70
  225,20190203,    2,   70
  225,20190203,    3,   60
  225,20190203,    4,   60
  225,20190203,    5,   60
  225,20190203,    6,   60
  225,20190203,    7,   60
  225,20190203,    8,   30
  225,20190203,    9,   40
  225,20190203,   10,   30
  225,20190203,   11,   50
  225,20190203,   12,   50
  225,20190203,   13,   50
  225,20190203,   14,   40
  225,20190203,   15,   50
  225,20190203,   16,   30
  225,20190203,   17,   40
  225,20190203,   18,   40
  225,20190203,   19,   70
  225,20190203,   20,   80
  225,20190203,   21,  100
  225,20190203,   22,  110
  225,20190203,   23,  100
  225,20190203,   24,   90
  225,20190204,    1,   90
  225,20190204,    2,  110
  225,20190204,    3,  120
  225,20190204,    4,  120
  225,20190204,    5,   90
  225,20190204,    6,  100
  225,20190204,    7,   90
  225,20190204,    8,   90
  225,20190204,    9,  100
  225,20190204,   10,  110
  225,20190204,   11,  120
  225,20190204,   12,  150
  225,20190204,   13,  130
  225,20190204,   14,  140
  225,20190204,   15,  140
  225,20190204,   16,  140
  225,20190204,   17,  150
  225,20190204,   18,  150
  225,20190204,   19,  140
  225,20190204,   20,  140
  225,20190204,   21,  140
  225,20190204,   22,  130
  225,20190204,   23,  120
  225,20190204,   24,  110
  225,20190205,    1,   90
  225,20190205,    2,   80
  225,20190205,    3,   70
  225,20190205,    4,   70
  225,20190205,    5,   90
  225,20190205,    6,   90
  225,20190205,    7,  100
  225,20190205,    8,   80
  225,20190205,    9,   80
  225,20190205,   10,   80
  225,20190205,   11,   70
  225,20190205,   12,   70
  225,20190205,   13,   70
  225,20190205,   14,   70
  225,20190205,   15,   70
  225,20190205,   16,   80
  225,20190205,   17,   60
  225,20190205,   18,   40
  225,20190205,   19,   50
  225,20190205,   20,   60
  225,20190205,   21,   70
  225,20190205,   22,   70
  225,20190205,   23,   70
  225,20190205,   24,   80
  225,20190206,    1,   70
  225,20190206,    2,   80
  225,20190206,    3,   90
  225,20190206,    4,   90
  225,20190206,    5,   90
  225,20190206,    6,   80
  225,20190206,    7,   80
  225,20190206,    8,   90
  225,20190206,    9,  100
  225,20190206,   10,  100
  225,20190206,   11,  100
  225,20190206,   12,   90
  225,20190206,   13,   80
  225,20190206,   14,   80
  225,20190206,   15,   80
  225,20190206,   16,   70
  225,20190206,   17,   60
  225,20190206,   18,   50
  225,20190206,   19,   50
  225,20190206,   20,   40
  225,20190206,   21,   50
  225,20190206,   22,   50
  225,20190206,   23,   50
  225,20190206,   24,   50
  225,20190207,    1,   70
  225,20190207,    2,   80
  225,20190207,    3,   90
  225,20190207,    4,  100
  225,20190207,    5,  130
  225,20190207,    6,  140
  225,20190207,    7,  160
  225,20190207,    8,  160
  225,20190207,    9,  160
  225,20190207,   10,  160
  225,20190207,   11,  160
  225,20190207,   12,  160
  225,20190207,   13,  170
  225,20190207,   14,  170
  225,20190207,   15,  160
  225,20190207,   16,  150
  225,20190207,   17,  140
  225,20190207,   18,  120
  225,20190207,   19,  110
  225,20190207,   20,  120
  225,20190207,   21,  110
  225,20190207,   22,  110
  225,20190207,   23,  100
  225,20190207,   24,  110
  225,20190208,    1,  120
  225,20190208,    2,  130
  225,20190208,    3,  120
  225,20190208,    4,  120
  225,20190208,    5,  120
  225,20190208,    6,  130
  225,20190208,    7,  130
  225,20190208,    8,  130
  225,20190208,    9,  130
  225,20190208,   10,  140
  225,20190208,   11,  140
  225,20190208,   12,  140
  225,20190208,   13,  150
  225,20190208,   14,  150
  225,20190208,   15,  160
  225,20190208,   16,  170
  225,20190208,   17,  170
  225,20190208,   18,  170
  225,20190208,   19,  170
  225,20190208,   20,  170
  225,20190208,   21,  170
  225,20190208,   22,  170
  225,20190208,   23,  170
  225,20190208,   24,  160
  225,20190209,    1,  160
  225,20190209,    2,  160
  225,20190209,    3,  160
  225,20190209,    4,  160
  225,20190209,    5,  150
  225,20190209,    6,  160
  225,20190209,    7,  160
  225,20190209,    8,  160
  225,20190209,    9,  170
  225,20190209,   10,  180
  225,20190209,   11,  180
  225,20190209,   12,  170
  225,20190209,   13,  170
  225,20190209,   14,  170
